Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
PQ9715,Sunday,2015-10-18,12:45:00,14:00:00,North Shore Female Peewee C2,Vancouver Girls Peewee C1,Ice Sports North Shore 3 Green,Peewee,Red Group,Balancing,North Shore Female
PQ9730,Sunday,2015-10-18,12:45:00,14:00:00,Vancouver Girls Peewee C2,Richmond Female Peewee C2,Richmond Olympic Oval North,Peewee,Red Group,Balancing,Vancouver Girls
BQ9311,Sunday,2015-10-18,13:00:00,14:15:00,North Shore Female Bantam C1,Burnaby Female Bantam C1,Ice Sports North Shore 2 Blue,Bantam,Black Group,Balancing,North Shore Female
PQ9010,Sunday,2015-10-18,13:30:00,15:00:00,Richmond Female Peewee A1,Vancouver Girls Peewee A1,Richmond Ice Centre Coliseum,Peewee,Tier 1,Placement,Richmond Female
BQ9312,Sunday,2015-10-18,14:30:00,16:00:00,Langley Girls Bantam C1,Tri Cities Female Bantam C1,Langley Twin Rinks 2,Bantam,Black Group,Balancing,Langley Girls
BQ9010,Sunday,2015-10-18,15:15:00,16:45:00,Richmond Female Bantam A1,Vancouver Girls Bantam A1,Richmond Ice Centre Coliseum,Bantam,Tier 1,Placement,Richmond Female
AQ9005,Sunday,2015-10-18,16:15:00,17:15:00,Burnaby Female Atom C1,Meadow Ridge Female Atom C1,Kensington Arena,Atom,Black Group,Balancing,Burnaby
PQ9716,Sunday,2015-10-18,16:30:00,17:45:00,Tri Cities Female Peewee C2,Meadow Ridge Female Peewee C2,Planet Ice Coquitlam 3 Venus,Peewee,Red Group,Balancing,Tri Cities Female
PQ9717,Sunday,2015-10-18,16:45:00,18:00:00,Abbotsford Female Peewee C1,Langley Girls Peewee C2,Abbotsford Centre Ice 1 Blue,Peewee,Red Group,Balancing,Abbotsford Female
MQ9011,Sunday,2015-10-18,17:15:00,18:45:00,North Shore Female Midget A1,Vancouver Girls Midget A1,West Vancouver Ice Arena,Midget,Tier 1,Placement,North Shore Female
MQ9315,Sunday,2015-10-18,17:30:00,18:45:00,Vancouver Girls Midget C2,Langley Girls Midget C1,Hillcrest Centre Arena,Midget,Black Group,Balancing,Vancouver Girls
PQ9314,Sunday,2015-10-18,17:30:00,18:45:00,Burnaby Female Peewee C1,Meadow Ridge Female Peewee C1,Kensington Arena,Peewee,Black Group,Balancing,Burnaby
AQ9403,Sunday,2015-10-18,17:45:00,19:00:00,Richmond Female Atom C3,South Delta Female Atom C1,Richmond Ice Centre Forum,Atom,Red Group,Balancing,Richmond Female
PQ9315,Sunday,2015-10-18,18:45:00,20:00:00,South Delta Female Peewee C1,Tri Cities Female Peewee C1,Tilbury Ice,Peewee,Black Group,Balancing,South Delta
PQ9316,Monday,2015-10-19,18:45:00,20:15:00,Meadow Ridge Female Peewee C1,Tri Cities Female Peewee C1,Planet Ice Maple Ridge 1 Cam Neely,Peewee,Black Group,Balancing,Meadow Ridge Female
BQ9319,Monday,2015-10-19,19:00:00,20:15:00,Langley Girls Bantam C1,Burnaby Female Bantam C1,Langley Twin Rinks 1,Bantam,Black Group,Balancing,Langley Girls
MQ9716,Monday,2015-10-19,19:45:00,21:15:00,South Delta Female Midget C1,Abbotsford Female Midget C2,Tilbury Ice,Midget,Red Group,Balancing,South Delta
PQ9317,Tuesday,2015-10-20,18:45:00,20:00:00,Tri Cities Female Peewee C1,North Shore Winter Club Female Peewee C1,Planet Ice Coquitlam 1 Mars,Peewee,Black Group,Balancing,Tri Cities Female
PQ9313,Tuesday,2015-10-20,19:15:00,20:30:00,Langley Girls Peewee C1,South Delta Female Peewee C1,Langley Sportsplex 1,Peewee,Black Group,Balancing,Langley Girls
BQ9314,Tuesday,2015-10-20,19:45:00,21:00:00,Tri Cities Female Bantam C1,Richmond Female Bantam C1,Port Moody 2,Bantam,Black Group,Balancing,Tri Cities Female
PQ9718,Tuesday,2015-10-20,19:45:00,21:00:00,Vancouver Girls Peewee C1,Langley Girls Peewee C2,Killarney Community Centre,Peewee,Red Group,Balancing,Vancouver Girls
MQ9320,Tuesday,2015-10-20,20:15:00,21:30:00,North Shore Female Midget C1,Richmond Female Midget C1,Harry Jerome Rec Centre,Midget,Black Group,Balancing,North Shore Female
MQ9321,Tuesday,2015-10-20,20:45:00,22:15:00,Abbotsford Female Midget C1,Meadow Ridge Female Midget C1,Abbotsford Centre Arena,Midget,Black Group,Balancing,Abbotsford Female
BQ9011,Tuesday,2015-10-20,21:15:00,22:30:00,Vancouver Girls Bantam A1,Surrey Female Bantam A1,Killarney Community Centre,Bantam,Tier 1,Placement,Vancouver Girls
AQ9205,Wednesday,2015-10-21,18:00:00,19:15:00,Tri Cities Female Atom C1,Richmond Female Atom C2,Planet Ice Coquitlam 4 Saturn,Atom,Blue Group,Balancing,Tri Cities Female
BQ9013,Wednesday,2015-10-21,18:30:00,19:45:00,Richmond Female Bantam A1,North Shore Female Bantam A1,Richmond Ice Centre Coliseum,Bantam,Tier 1,Placement,Richmond Female
AQ9408,Wednesday,2015-10-21,18:45:00,20:00:00,South Delta Female Atom C1,North Shore Female Atom C3,Tilbury Ice,Atom,Red Group,Balancing,South Delta
BQ9008,Wednesday,2015-10-21,20:15:00,21:30:00,Abbotsford Female Bantam A1,Tri Cities Female Bantam A1,Matsqui Recreation Centre,Bantam,Tier 1,Placement,Abbotsford Female
PQ9714,Thursday,2015-10-22,18:00:00,19:15:00,Surrey Female Peewee C1,Abbotsford Female Peewee C1,Surrey Sport & Leisure Centre Arena 1 Blue,Peewee,Red Group,Balancing,Surrey Female
AQ9006,Thursday,2015-10-22,18:15:00,19:30:00,North Shore Female Atom C1,North Shore Winter Club Female Atom C1,Harry Jerome Rec Centre,Atom,Black Group,Balancing,North Shore Female
PQ9719,Thursday,2015-10-22,18:15:00,19:30:00,Meadow Ridge Female Peewee C2,Vancouver Girls Peewee C2,Planet Ice Maple Ridge 2,Peewee,Red Group,Balancing,Meadow Ridge Female
PQ9004,Thursday,2015-10-22,18:30:00,20:00:00,Richmond Female Peewee A1,Langley Girls Peewee A1,Richmond Ice Centre Garage,Peewee,Tier 1,Placement,Richmond Female
MQ9717,Thursday,2015-10-22,19:30:00,20:45:00,Abbotsford Female Midget C2,Tri Cities Female Midget C3,MSA Arena - Abbotsford,Midget,Red Group,Balancing,Abbotsford Female
PQ9720,Thursday,2015-10-22,19:30:00,21:00:00,Langley Girls Peewee C2,Richmond Female Peewee C2,Langley Sportsplex 2,Peewee,Red Group,Balancing,Langley Girls
MQ9324,Thursday,2015-10-22,19:45:00,21:00:00,North Shore Winter Club Female Midget C1,Surrey Female Midget C1,North Shore Winter Club,Midget,Black Group,Balancing,North Shore Winter Club
MQ9325,Thursday,2015-10-22,19:45:00,21:00:00,Vancouver Girls Midget C2,Vancouver Girls Midget C1,PNE Agrodome,Midget,Black Group,Balancing,Vancouver Girls
PQ9319,Thursday,2015-10-22,19:45:00,21:00:00,North Shore Female Peewee C1,Richmond Female Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,Balancing,North Shore Female
